method_key,method,budget,rounds,commit_milliseconds_per_round,draft_milliseconds_per_round,tree_build_milliseconds_per_round,tree_compile_milliseconds_per_round,verify_milliseconds_per_round,other_milliseconds_per_round,total_milliseconds_per_round
dflash2,DFlash2-GreedyPath,7,1913,0.5991479315290457,12.593979202303183,0.0,0.0,40.867161192894244,0.1503764186996292,54.2106647454261
dflash2_unary_k16_tb7,Unary-FullMass,7,1874,1.663000955181014,13.917321864459506,0.7222435250754189,0.23993806776777724,39.5834020314884,0.1609286419404844,56.28683508591259
dflash2_unary_k16_tb8,Unary-FullMass,8,1836,2.0227701574101915,14.029372628537478,0.7645001470522133,0.24383562799886657,40.01363717265724,0.16278879956826528,57.236904533224255
dflash2_unary_k16_tb16,Unary-FullMass,16,1723,1.9912070824165056,13.867605878695336,0.9942200533890152,0.23990755600810068,39.36584463667753,0.16341552177407792,56.62220072896057
dflash2_unary_k16_tb32,Unary-FullMass,32,1619,2.0045349289688357,13.919474215564218,1.4900106522568064,0.24243718035601958,39.263307648549805,0.16895594688129456,57.088720572576975
dflash2_unary_k16_tb64,Unary-FullMass,64,1554,2.0043678416972015,13.845707516089707,2.4221253346162275,0.2432042380949326,39.63332590540238,0.17546715702088359,58.32419799292133
dflash2_pairwise_k16_tb7,Pairwise-MassPreserving,7,1811,1.611085199882134,13.884787180555238,0.9029406764200688,0.24000321921673118,39.457437190505104,0.16079794589958912,56.257051412478866
dflash2_pairwise_k16_tb8,Pairwise-MassPreserving,8,1732,1.9969332136250213,13.90188696304678,0.9342540334871611,0.24006028291414014,39.65470050866184,0.1618811760936527,56.8897161778286
dflash2_pairwise_k16_tb16,Pairwise-MassPreserving,16,1601,2.005193091819767,13.941817701434298,1.1930531942467555,0.24035986133731568,39.58743695940557,0.16376724359839429,57.13162805184211
dflash2_pairwise_k16_tb32,Pairwise-MassPreserving,32,1503,1.9961609188270286,13.864276920152562,1.6889013186963477,0.24176142847211637,39.20363044777418,0.16748826813909243,57.16221930206133
dflash2_pairwise_k16_tb64,Pairwise-MassPreserving,64,1443,2.0050959743606875,13.805983867637687,2.659975180182768,0.24286051975102135,39.6536336791372,0.17524268121838685,58.542791902287746
