budget,metric,mean_paired_prompt_difference,ci_low,ci_high,bootstrap_probability_positive,pairwise_improves_prompts,ties,unary_improves_prompts
7,mean_matched_draft_tokens,0.20880378753939466,0.12495509863653376,0.2832197089167078,1.0,26,1,5
7,mean_committed_tokens,0.20761465736648402,0.12438463504142344,0.28179766422930774,1.0,26,1,5
7,full_block_acceptance,0.038384884867180696,0.021433729396202864,0.05520897814893298,1.0,25,0,7
7,tokens_per_second,3.7337405993108,2.0714881463740493,5.287249382908674,1.0,24,0,8
7,milliseconds_per_token,-0.5002059236392211,-0.7053793597863613,-0.2838172447275932,0.0,8,0,24
8,mean_matched_draft_tokens,0.285491082637814,0.22048691493144293,0.34773648698426307,1.0,28,3,1
8,mean_committed_tokens,0.282970519386998,0.21740656597667665,0.34495825098503713,1.0,28,3,1
8,full_block_acceptance,0.040394929913427524,0.02323906894475819,0.057469591673379124,1.0,24,0,8
8,tokens_per_second,5.472501707194632,3.856844656947315,7.054348335865819,1.0,26,0,6
8,milliseconds_per_token,-0.7161529375462747,-0.9318871355726923,-0.495859192416112,0.0,6,0,26
16,mean_matched_draft_tokens,0.3742346358628961,0.2723633278332682,0.47575189243965044,1.0,30,1,1
16,mean_committed_tokens,0.3728787810618588,0.2701773820571699,0.47463456527801057,1.0,29,1,2
16,full_block_acceptance,0.07813437373513582,0.05803014895666948,0.09928970001703763,1.0,29,1,2
16,tokens_per_second,5.743725284722087,3.7213268509934316,7.848363703336706,1.0,27,0,5
16,milliseconds_per_token,-0.5853198554640555,-0.7902082942430902,-0.38243963756270144,0.0,5,0,27
32,mean_matched_draft_tokens,0.39261754679877553,0.3086066637997204,0.47591981287651686,1.0,29,2,1
32,mean_committed_tokens,0.3930742464624337,0.30950637748326065,0.47624526137254053,1.0,29,3,0
32,full_block_acceptance,0.08790411849687169,0.06964739230437868,0.10622524700591532,1.0,29,1,2
32,tokens_per_second,6.8016300706212025,5.067449618449946,8.529624412537778,1.0,28,0,4
32,milliseconds_per_token,-0.6422771329372141,-0.823040870900059,-0.46845837855458106,0.0,4,0,28
64,mean_matched_draft_tokens,0.5136264977893936,0.42550886087191075,0.5994019446335289,1.0,31,1,0
64,mean_committed_tokens,0.5141745862404973,0.425594632791313,0.6003433247685757,1.0,31,1,0
64,full_block_acceptance,0.11490128863960666,0.09259826263245739,0.13678748804010718,1.0,31,1,0
64,tokens_per_second,8.5108144379609,6.81371488989715,10.233137987378472,1.0,31,0,1
64,milliseconds_per_token,-0.7772252842152851,-0.9401209989104105,-0.6161003679132622,0.0,1,0,31
