dataset,budget,method,candidate_count,rounds,candidate_select_ms_per_round,tree_build_ms_per_round,verify_ms_per_round,tokens_per_second,milliseconds_per_token
GSM8K,8,Unary-K16,16,7499,0.20920225863179107,0.5969199056049624,39.615318246086055,89.5339066311401,11.271650735187198
GSM8K,8,Unary-K32,32,7509,0.2877066344345873,0.7375012124138046,39.58075850368345,89.36330923953253,11.28851915185354
GSM8K,8,Unary-K64,64,7451,0.28289439245209014,1.001372694364102,39.62868249526514,88.83634398520692,11.356945031846148
GSM8K,8,Pairwise-K16,16,7095,0.20822459472743027,0.7655816098299059,39.63247947130063,93.69147426934975,10.752414487494423
GSM8K,16,Unary-K16,16,6982,0.2089850104658562,0.8508792475223362,39.34744845383017,96.39345467050347,10.457416171000359
GSM8K,16,Unary-K32,32,6996,0.2872039070079013,1.0752663337484787,39.32456647012189,95.84210218865334,10.517339133092683
GSM8K,16,Unary-K64,64,6984,0.28291798219002595,1.523675300809128,39.317826235816874,95.20971738185753,10.586072080803135
GSM8K,16,Pairwise-K16,16,6692,0.20844715023998162,1.0215176199161866,39.30742612658099,103.77556932193716,9.702082841332238
GSM8K,32,Unary-K16,16,6661,0.20900022265119408,1.3235582815724538,39.1726238955519,100.59113486620213,10.005744853707768
GSM8K,32,Unary-K32,32,6770,0.28733939980586615,1.725975880420411,39.2199364164324,99.6700635439829,10.102119480684053
GSM8K,32,Unary-K64,64,6738,0.2831511051678881,2.56197434554092,39.27035548402191,98.17321701247832,10.253924277066053
GSM8K,32,Pairwise-K16,16,6102,0.2086086350969936,1.5199864596587753,39.19470401851999,109.05646350606145,9.22438894958637
GSM8K,64,Unary-K16,16,6331,0.20852259435157905,2.259209478959167,39.718614858748566,101.53860188374378,9.910495602688023
GSM8K,64,Unary-K32,32,6345,0.2873480820704884,3.023656036228109,39.80451766577895,100.04118304222358,10.057507448041559
GSM8K,64,Unary-K64,64,6334,0.2837656832152062,5.505553539183924,39.86861165510287,95.96630734356441,10.489742351744148
GSM8K,64,Pairwise-K16,16,5837,0.20866990533478033,2.503287731067822,39.73934638296657,110.41120814538809,9.099312682161285
MATH500,8,Unary-K16,16,17972,0.21161354659560502,0.5955642236227553,40.380585644483006,92.06987908013197,11.006445564829406
MATH500,8,Unary-K32,32,18213,0.28969260257271245,0.7331126635187276,40.216294932627385,91.66738668700452,11.047161483884402
MATH500,8,Unary-K64,64,18199,0.28535807275093195,1.0005672557417742,40.269393103211556,91.02542841202657,11.126997488067197
MATH500,8,Pairwise-K16,16,16347,0.21034622572271922,0.7673624804930714,40.26612234512466,96.83378299044153,10.444029137142483
MATH500,16,Unary-K16,16,16606,0.21084933202848133,0.8521441328499888,39.95055985642982,99.30338242247738,10.179539214297357
MATH500,16,Unary-K32,32,16298,0.2896846610179344,1.0779599187297821,39.87872927873065,98.79188124380562,10.22607777562521
MATH500,16,Unary-K64,64,16724,0.28605300317521976,1.528623163254894,39.94802799430082,97.95728704506678,10.318247721125786
MATH500,16,Pairwise-K16,16,15503,0.2107241588004538,1.0255325673166764,39.91372345071609,106.99847662650417,9.432458227034603
MATH500,32,Unary-K16,16,15986,0.21063863305063094,1.3342085567430924,39.74516358038949,103.03639986236783,9.794642119561468
MATH500,32,Unary-K32,32,15698,0.2902338287045292,1.7385228570214932,39.780555201288216,101.94888585925753,9.900934713187548
MATH500,32,Unary-K64,64,16238,0.2865917636882604,2.59599931684782,39.851282968905444,100.56419676191646,10.037565500448952
MATH500,32,Pairwise-K16,16,14744,0.21017134445018276,1.5250003855879866,39.72670137627811,112.08396151914403,8.974242604678652
MATH500,64,Unary-K16,16,15847,0.2103550489891701,2.315917515346158,40.181545438123614,104.03896794814807,9.67469729237933
MATH500,64,Unary-K32,32,15635,0.29015419941063736,3.0558343961788594,40.3028941469572,102.3017439998259,9.842336358389261
MATH500,64,Unary-K64,64,15612,0.2866705798545496,5.628907087965726,40.38794674194988,98.30919788587197,10.254893068494235
MATH500,64,Pairwise-K16,16,14258,0.21051432592265049,2.5225334149297374,40.24747409649502,112.92270413066716,8.907138681732523
