prompt_index,method_key,method,budget,decode_rounds,num_output_tokens,mean_matched_draft_tokens,mean_committed_tokens,full_block_acceptance,milliseconds_per_token,tokens_per_second,matches_sequential_baseline,draft_milliseconds_per_round,tree_build_milliseconds_per_round,tree_compile_milliseconds_per_round,verify_milliseconds_per_round,commit_milliseconds_per_round,other_milliseconds_per_round
0,dflash2,DFlash2-GreedyPath,7,124,629,4.064516129032258,5.064516129032258,0.3548387096774194,10.58149639904719,94.50459200553571,False,12.601909879102154,0.0,0.0,40.36170793545851,0.5635541532419373,0.14832186284805968
1,dflash2,DFlash2-GreedyPath,7,101,559,4.534653465346534,5.524752475247524,0.37623762376237624,9.68435874955225,103.25928911361679,False,12.612255861367345,0.0,0.0,40.27977888117585,0.5597845049105852,0.1477504654146044
2,dflash2,DFlash2-GreedyPath,7,231,1420,5.147186147186147,6.142857142857143,0.5281385281385281,9.105643260564122,109.82200503405697,False,13.318763948034333,0.0,0.0,41.871413333377134,0.6208354977951829,0.1630713333520263
3,dflash2,DFlash2-GreedyPath,7,92,555,5.032608695652174,6.021739130434782,0.4673913043478261,8.95526171891991,111.66619484579502,False,12.701205739196428,0.0,0.0,40.63403118472865,0.5407341086736225,0.14761868479858412
4,dflash2,DFlash2-GreedyPath,7,116,621,4.353448275862069,5.344827586206897,0.29310344827586204,10.098161059581118,99.0279313332205,False,12.728738586357112,0.0,0.0,40.600603965497704,0.5810410085861553,0.14959935335104219
5,dflash2,DFlash2-GreedyPath,7,97,410,3.216494845360825,4.216494845360825,0.17525773195876287,12.896986695119356,77.53749179088732,False,12.803073556515113,0.0,0.0,40.94799384526511,0.6114995566602693,0.15046958794028825
6,dflash2,DFlash2-GreedyPath,7,114,620,4.43859649122807,5.4298245614035086,0.42105263157894735,9.909794896773217,100.91026206058164,False,12.686267508717975,0.0,0.0,40.51225909655873,0.5491068685794169,0.14774228052453384
7,dflash2,DFlash2-GreedyPath,7,143,917,5.4125874125874125,6.405594405594406,0.5734265734265734,8.319197244275498,120.20390557371475,True,12.605783405544914,0.0,0.0,40.08344279725963,0.5110106503071347,0.14734267836126866
8,dflash2,DFlash2-GreedyPath,7,127,784,5.173228346456693,6.165354330708661,0.5354330708661418,8.613823903061178,116.09245919743267,False,12.542286921323138,0.0,0.0,39.96870505509682,0.5173017794216386,0.14680813392189546
9,dflash2,DFlash2-GreedyPath,7,67,367,4.477611940298507,5.462686567164179,0.44776119402985076,9.716966792912386,102.91277322563313,False,12.485341537190399,0.0,0.0,40.05429932829483,0.5394096418180496,0.14672282103769682
10,dflash2,DFlash2-GreedyPath,7,32,158,3.9375,4.90625,0.15625,10.720049753171558,93.28314914808553,True,12.224565312521918,0.0,0.0,39.95098346877057,0.6077070625565284,0.14698981243554954
11,dflash2,DFlash2-GreedyPath,7,133,479,2.601503759398496,3.593984962406015,0.10526315789473684,14.756974448852715,67.76456810072916,False,12.50806565405952,0.0,0.0,39.8710098570997,0.6204454962278391,0.1477779475035482
12,dflash2,DFlash2-GreedyPath,7,150,690,3.6,4.593333333333334,0.28,11.642378424638055,85.89310221043503,False,12.628246073303066,0.0,0.0,40.19803798658055,0.5807360266893132,0.1479206667621232
13,dflash2,DFlash2-GreedyPath,7,148,847,4.716216216216216,5.716216216216216,0.4527027027027027,9.463208030695986,105.67241011254124,False,12.77814451349194,0.0,0.0,40.68860252695034,0.5428976959395899,0.14803906091204938
14,dflash2,DFlash2-GreedyPath,7,93,546,4.870967741935484,5.860215053763441,0.4838709677419355,9.20749538827861,108.60716816356236,False,12.746693677302094,0.0,0.0,40.62700481721237,0.5355651828135559,0.14764473127543562
15,dflash2,DFlash2-GreedyPath,7,395,2048,4.184810126582279,5.182278481012658,0.369620253164557,10.428943839356108,95.88698677485071,False,12.784398048102105,0.0,0.0,40.5772396784863,0.5628411164310174,0.1476147848319946
16,dflash2,DFlash2-GreedyPath,7,119,450,2.7815126050420167,3.773109243697479,0.14285714285714285,14.079074653333615,71.02739523887828,False,12.53202719340725,0.0,0.0,39.948295050451925,0.6131542015909032,0.14672182345855297
17,dflash2,DFlash2-GreedyPath,7,35,189,4.4,5.371428571428571,0.42857142857142855,9.82000774073491,101.83291361898274,True,12.275800114314604,0.0,0.0,40.06671362866265,0.5407538285258592,0.14477422846540047
18,dflash2,DFlash2-GreedyPath,7,331,2048,5.187311178247734,6.18429003021148,0.5981873111782477,8.57420244238316,116.62892341530188,False,12.558979966755189,0.0,0.0,39.84604525678613,0.5001543021483119,0.14607909062672955
19,dflash2,DFlash2-GreedyPath,7,398,2048,4.1457286432160805,5.14321608040201,0.36683417085427134,10.610432370116385,94.24686620843435,False,12.896250864364836,0.0,0.0,40.98468240449368,0.5679052461876304,0.14956724876881608
20,dflash2,DFlash2-GreedyPath,7,88,545,5.193181818181818,6.181818181818182,0.5795454545454546,8.745575053212175,114.34353875137217,False,12.740907511401515,0.0,0.0,40.75438635233943,0.5213521251128193,0.14629042024435793
21,dflash2,DFlash2-GreedyPath,7,151,821,4.437086092715232,5.430463576158941,0.4503311258278146,9.86510577588397,101.36738750886776,False,12.64751652975396,0.0,0.0,40.30090296682287,0.5416991986465965,0.14731072200001957
22,dflash2,DFlash2-GreedyPath,7,258,1513,4.8604651162790695,5.8604651162790695,0.4883720930232558,9.291684173166239,107.62311561212262,False,12.855282515431114,0.0,0.0,40.94460422872593,0.5408243450237792,0.1488941588832018
23,dflash2,DFlash2-GreedyPath,7,104,513,3.9326923076923075,4.923076923076923,0.28846153846153844,10.821352029238787,92.40989455828134,False,12.523024644224279,0.0,0.0,40.129631557699845,0.5794334711551458,0.14631024037743584
24,dflash2,DFlash2-GreedyPath,7,185,833,3.502702702702703,4.4972972972972975,0.2,11.88255230972507,84.15700380982689,False,12.584887329649064,0.0,0.0,40.16368357841054,0.608345573001881,0.14668391894382374
25,dflash2,DFlash2-GreedyPath,7,64,368,4.75,5.734375,0.46875,9.287218239132532,107.67486821688003,False,12.4890472811785,0.0,0.0,40.23424346857496,0.5342076406691376,0.14400648458946091
26,dflash2,DFlash2-GreedyPath,7,240,1041,3.3375,4.333333333333333,0.25416666666666665,12.336575947166335,81.0597692814185,False,12.591935479046393,0.0,0.0,40.18405614999665,0.5864173249771435,0.1474892168137861
27,dflash2,DFlash2-GreedyPath,7,56,237,3.232142857142857,4.214285714285714,0.25,12.818016130800464,78.01519281888683,False,12.652124642792321,0.0,0.0,40.85379367851211,0.5948015179585907,0.14695557144607715
28,dflash2,DFlash2-GreedyPath,7,211,1179,4.587677725118484,5.5829383886255926,0.43601895734597157,9.69576822222253,103.13777898568343,False,12.75915015633589,0.0,0.0,40.72165659711948,0.5484206541079997,0.14760071566110197
